carUrl,carModel,lot,yearMake,brand,price,runDate,description,views
https://www.gaaclassiccars.com//vehicles/39917/1979-lincoln-mark-v-cartier-edition,Mark V Cartier Edition,"
Lot #
FR0001
",1979,Lincoln,"
","
2024 April
","
400 CID V8 Engine
","
1,932
"
https://www.gaaclassiccars.com//vehicles/39956/2002-jeep-wrangler-sahara,Wrangler Sahara,"
Lot #
FR0002
",2002,Jeep,,"
2024 April
","
4x4
","
1,816
"
https://www.gaaclassiccars.com//vehicles/39996/1940-mercury-eight,Eight ,"
Lot #
FR0004
",1940,Mercury,,"
2024 April
","
Flathead V8 Engine
","
2,194
"
https://www.gaaclassiccars.com//vehicles/39780/1973-chevrolet-monte-carlo,Monte Carlo ,"
Lot #
FR0005
",1973,Chevrolet,,"
2024 April
","
Built Chevy 350 CID Engine
","
4,206
"
https://www.gaaclassiccars.com//vehicles/39742/1984-ford-f250-xlt,F250 XLT,"
Lot #
FR0006
",1984,Ford,,"
2024 April
","
5.8L Engine
","
2,619
"
https://www.gaaclassiccars.com//vehicles/39977/2005-volkswagen-phaeton,Phaeton ,"
Lot #
FR0007
",2005,Volkswagen,"
","
2024 April
","
85K Actual Miles
","
1,317
"
https://www.gaaclassiccars.com//vehicles/39876/1987-alfa-romeo-spider-graduate,Spider Graduate,"
Lot #
FR0008
",1987,Alfa Romeo,,"
2024 April
","
46K Actual Miles
","
1,268
"
https://www.gaaclassiccars.com//vehicles/39804/1995-mazda-miata,Miata ,"
Lot #
FR0009
",1995,Mazda,"
","
2024 April
","
347 CID Roller Engine
","
1,707
"
https://www.gaaclassiccars.com//vehicles/39994/1958-volkswagen-dune-buggy,Dune Buggy ,"
Lot #
FR0010
",1958,Volkswagen,"
","
2024 April
","
1192 cc 36 HP Engine
","
2,196
"
https://www.gaaclassiccars.com//vehicles/39811/1984-dodge-rampage,Rampage ,"
Lot #
FR0011
",1984,Dodge,,"
2024 April
","
4 Speed Manual Transmission
","
1,924
"
https://www.gaaclassiccars.com//vehicles/39851/1988-nissan-pickup,Pickup ,"
Lot #
FR0012
",1988,Nissan,"
","
2024 April
","
Matching Camper Top
","
1,296
"
https://www.gaaclassiccars.com//vehicles/39849/1985-chevrolet-silverado,Silverado ,"
Lot #
FR0013
",1985,Chevrolet,"
","
2024 April
","
383 Stroker Engine
","
1,559
"
https://www.gaaclassiccars.com//vehicles/39739/2006-chrysler-300-srt-8,300 SRT-8 ,"
Lot #
FR0014
",2006,Chrysler,,"
2024 April
","
6.1L HEMI Engine
","
1,900
"
https://www.gaaclassiccars.com//vehicles/39741/1978-datsun-280z,280Z ,"
Lot #
FR0015
",1978,Datsun,,"
2024 April
","
Same Owner Since 1994
","
2,277
"
https://www.gaaclassiccars.com//vehicles/39910/1983-pontiac-trans-am-pace-car,Trans Am Pace Car,"
Lot #
FR0016
",1983,Pontiac,,"
2024 April
",,"
1,256
"
https://www.gaaclassiccars.com//vehicles/39650/1987-chevrolet-caprice-brougham,Caprice Brougham,"
Lot #
FR0017
",1987,Chevrolet,,"
2024 April
","
New Vinyl Top
","
6,592
"
https://www.gaaclassiccars.com//vehicles/39655/1979-chevrolet-k10,K10 ,"
Lot #
FR0018
",1979,Chevrolet,,"
2024 April
","
350 CID Small Block Chevy Engine
","
3,238
"
