brand,carHL,carName,carUrl,color,description,doors,lot,model,price,style,views,vinCode,year
Lincoln,"['\n400 CID V8 Engine\r\n', '\nLeather Seats\r\n', '\nPower Seats - Driver and Passenger\r\n', '\nRemote Control Mirrors - Driver and Passenger\r\n', '\nPower Windows\r\n', '\nPower Antenna\r\n', '\nAM/FM 8 Track with Tapes\r\n', '\nRemote Trunk Opener\r\n', '\nCruise Control\r\n', '\nA/C R34 a Conversion\r\n', '\nNew Tires\r\n', '\nTilt Steering Wheel\n']",Mark VCartier Edition,https://www.gaaclassiccars.com/vehicles/39917/1979-lincoln-mark-v-cartier-edition,Yellow,400 CID V8 Engine,2,FR0001,Mark V,,Coupe,"1,941 Views",VIN:9Y89S728604,1979
Ford,"['\nPart of the 4x4 No Reserve Collection \r\n', '\nV8 5.4L Engine \r\n', '\n4 Speed Automatic Transmission \r\n', '\n4WD\r\n', '\n96K Actual Miles\r\n', '\nClean CARFAX Report / Available Upon Request \r\n', '\nChrome Front & Rear Bumpers\r\n', '\nStepside Pickup Bed \r\n', '\nPower Steering \r\n', '\nPower Brakes \r\n', '\nAM/FM Radio\r\n', '\nTachometer \r\n', '\n16"" Wheel \r\n', '\nPower Windows \r\n', '\nPower Door Locks \r\n', '\nPower Side Mirror Adjustments \r\n', '\nSplit Bench Front / Bench Rear Seats\n']",F150XLT,https://www.gaaclassiccars.com/vehicles/39946/1997-ford-f150-xlt,Teal,96K Actual Miles,2,FR0051.3,F150,,Pickup Truck,"1,454 Views",VIN:1FTEX08L7VKC67325,1997
Ford,"['\nPart of the 4x4 No Reserve Collection \r\n', '\nOne Owner \r\n', '\n43K Actual Miles\r\n', '\nV8 5.4L Engine\r\n', '\n4 Speed Automatic Transmission \r\n', '\nFX4 Package \r\n', '\n4x4\r\n', '\nChrome Front & Rear Bumpers \r\n', '\nA/C\r\n', '\nLeather Steering Wheel Trim \r\n', '\nCenter Console \r\n', '\nCruise Control \r\n', '\nKeyless Entry \r\n', '\nPower Steering \r\n', '\nFront Overhead Console \r\n', '\nTilt Steering Wheel \r\n', '\n4 Wheel ABS\r\n', '\n3.31 Axle Ratio \r\n', '\nPower Brakes \r\n', '\nClock \r\n', '\nIn-Dash CD / Single Disc \r\n', '\nAM/FM Radio\r\n', '\nFront Fog Lights \r\n', '\nIntermittent Front Wipers \r\n', '\nPower Windows \r\n', '\nDual Front Airbags \r\n', '\nPower Door Locks \r\n', '\nAlarm Anti-Theft System \r\n', '\nPower Side Mirror Adjustments \r\n', '\nSplit Bench Front & Rear Seats\n']",F150XLT,https://www.gaaclassiccars.com/vehicles/39949/2003-ford-f150-xlt,Tan,One Owner,Red,FR0051.6,F150,,Pickup Truck,"1,676 Views",VIN:1FTRX18L13NA01379,2003
Mercedes Benz,"['\nConvertible \r\n', '\n2 Owner Vehicle\r\n', '\nFirst Owner had this Vehicle for 55 Years\n']",300SE,https://www.gaaclassiccars.com/vehicles/39770/1965-mercedes-benz-300se,White,Convertible,2,FR0055,300SE,,Convertible,"3,735 Views",VIN:11202312008735,1965
Chevrolet,"['\n2 Door\r\n', '\nAutomatic Transmission\r\n', '\n307 CID Engine\r\n', '\nSmall Can Mutha Thumpr\r\n', '\nChrome Wheels\r\n', '\nBlue Exterior with Blue Interior\n']",Impala,https://www.gaaclassiccars.com/vehicles/40077/1962-chevrolet-impala,Blue,2 Door,2,FR0053,Impala,,Coupe,"1,397 Views",VIN:21847B150157,1962
Dodge,"['\n56K Actual Miles \r\n', '\n2 Door Hardtop Diplomat \r\n', '\n230 CID Flathead 6 Cylinder Engine \r\n', '\nGyromatic Fluid Drive 4 Speed Transmission \r\n', '\nHigh Quality Repaint in 2017\r\n', '\nOriginal Interior \r\n', '\nFactory Heater/Defroster \r\n', '\nAM Radio\r\n', '\nWide White Wall Radial Tires \r\n', '\nFactory Hubcaps \r\n', '\nNew Brakes and Exhaust \r\n', '\nAlways Properly Stored \r\n', '\nRam Hood Ornament \r\n', '\nDetailed Trunk with Original Spare Tire and Jack\n']",Coronet,https://www.gaaclassiccars.com/vehicles/39880/1952-dodge-coronet,Dover Gray/Pitcairn Blue,56K Actual Miles,2,FR0052,Coronet,,Hardtop,"1,400 Views",VIN:31886660,1952
Chevrolet,"['\n6.2L 435hp LS3 V8 Engine \r\n', '\n6 Speed Automatic Transmission \r\n', '\nStock/Unmodified Condition \r\n', '\nOnly 2,268 Grand Sport Convertibles Built in 2012\r\n', '\n1 of 462 in Torch Red \r\n', '\n1 of 218 with 2LT Package \r\n', '\nNavigation \r\n', '\nHeads Up Display \r\n', '\nHID Headlights \r\n', '\nPower Seats \r\n', '\nPower Windows \r\n', '\nPower Mirrors \r\n', '\nPower Locks \r\n', '\nCruise Control \r\n', '\nKeyless Entry \r\n', '\nFactory 19"" Wheels \r\n', ""\nOwner's Manual \r\n"", '\nClean CARFAX Report / Available Upon Request\n']",CorvetteZ16 Grand Sport,https://www.gaaclassiccars.com/vehicles/39785/2012-chevrolet-corvette-z16-grand-sport,Torch Red,1 of 218 with 2LT Package,2,FR0054,Corvette,,Convertible,"1,942 Views",VIN:1G1YV3DW9C5105589,2012
Ford,"['\nPart of the 4x4 No Reserve Collection \r\n', '\nV6 2.9L Engine\r\n', '\n4 Speed Automatic Transmission \r\n', '\n4x4\r\n', '\nFront A/C\r\n', '\nLeather Steering Wheel Trim \r\n', '\nPower Steering \r\n', '\nPower Brakes \r\n', '\nClock \r\n', '\nAM/FM Radio\r\n', '\nTachometer \r\n', '\n15"" Wheels\r\n', '\nPolished Aluminum Wheels\r\n', '\nIntermittent Front Wipers \r\n', '\nPower Windows \r\n', '\nTinted Glass \r\n', '\nPower Door Locks \r\n', '\nCloth Bucket Seats\n']",BroncoII,https://www.gaaclassiccars.com/vehicles/39948/1987-ford-bronco-ii,Red/White,V6 2.9L Engine,2,FR0051.5,Bronco,,Suv,"1,727 Views",VIN:1FMCU14T5HUB91488,1987
Ford,"['\nPart of the 4x4 No Reserve Collection \r\n', '\nPer CARFAX Report / Potential Odometer Rollover Indicated \r\n', '\nRegular Cab Short Bed\r\n', '\n2 Door \r\n', '\n5.0L V8 Engine OHV 16V\r\n', '\n4 Speed Automatic Transmission \r\n', '\n4WD\r\n', '\nCamper Shell \r\n', '\nCloth Interior \r\n', '\nA/C\n']",F150,https://www.gaaclassiccars.com/vehicles/39947/1991-ford-f150,Blue,Regular Cab Short Bed,2,FR0051.4,F150,,Pickup Truck,"1,708 Views",VIN:1FTEF14N5MNB07439,1991
Ford,"['\nPart of the 4x4 No Reserve Collection \r\n', '\nPer Title Mileage Exempt / Owner Believes to be 69K Original Miles \r\n', '\n4x4\r\n', '\nClean CARFAX Report / Available Upon Request \r\n', '\nV6 3.0L Engine\r\n', '\n4 Speed Automatic Transmission \r\n', '\nSkid Plates \r\n', '\nRear Step Bumper Detail \r\n', '\nPower Steering \r\n', '\nPower Brakes \r\n', '\nABS Rear \r\n', '\nAM/FM Radio\r\n', '\nTachometer\r\n', '\nExterior Entry Lights / Approach Lamps\r\n', '\n15"" Wheel Diameter \r\n', '\nAluminum Wheels\r\n', '\nIntermittent Front Wipers \r\n', '\nTinted Glass \r\n', '\nBench Seat \r\n', '\nVinyl Upholstery\n']",RangerXL,https://www.gaaclassiccars.com/vehicles/39945/1997-ford-ranger-xl,Teal,4x4,2,FR0051.2,Ranger,,Pickup Truck,"2,158 Views",VIN:1FTCR11U9VPA43907,1997
Hummer,"['\nPart of the 4x4 No Reserve Collection\r\n', '\n4WD \r\n', '\nSport Utility 4 Door \r\n', '\n3.7L L5 DOHC 20V Engine \r\n', '\nAutomatic Headlights \r\n', '\nFog Lights \r\n', '\nAlloy Wheels \r\n', '\nPower Windows \r\n', '\nTilt Steering\n']",H3,https://www.gaaclassiccars.com/vehicles/39944/2008-hummer-h3,Gray,4WD,4,FR0051.1,H3,,Suv,"1,299 Views",VIN:5GTEN13E988156290,2008
Jeep,"['\n3.8L V6 Engine\r\n', '\n6 Speed Manual Transmission \r\n', '\n4 Wheel Drive \r\n', '\nCustom Lift Kit \r\n', '\nCustom Wheels and Tires \r\n', '\nCustom Bumpers, Flares and Lights\r\n', '\nSilver Metallic Exterior \r\n', '\nTwo Tone Gray Interior \r\n', '\nRemovable Soft Top \r\n', '\nRoll Bar with Speakers \r\n', '\nCustom Sony Stereo System \r\n', '\nPower Windows and Locks \r\n', '\nA/C and Heat\n']",Wrangler,https://www.gaaclassiccars.com/vehicles/39908/2007-jeep-wrangler,Silver,3.8L V6 Engine,2,FR0051,Wrangler,,Suv,"1,195 Views",VIN:1J4FA541X7L177665,2007
Chevrolet,"['\nRestoration Completed in 2006\r\n', '\nFactory Color Combination of Azure Aqua Metallic with Matching Interior \r\n', '\nRefinished in Correct Color Combo\r\n', '\nMechanical Restoration 3K Miles Ago \r\n', '\n4 Speed Manual Transmission \r\n', '\nWhite Convertible Top and Convertible Boot \r\n', '\nRefinished Bucket Seat Interior \r\n', '\nRestored Factory Gauges, Radio and Interior Trim \r\n', '\nFull Size Wheel Covers \r\n', '\nFactory Tinted Front Windshield\n']",CorvairMonza,https://www.gaaclassiccars.com/vehicles/39905/1964-chevrolet-corvair-monza,Azure Aqua,Restoration Completed in 2006,2,FR0049,Corvair,,Convertible,"1,524 Views",VIN:40967W208164,1964
Cadillac,"['\nV8 331 with Complete Rebuild (1st Year of Overhead Valves)\r\n', '\nAutomatic Transmission \r\n', '\n1 Older Repaint in Black Lacquer \r\n', '\nNew Interior \r\n', '\nCorrect Bias Ply Tires \r\n', '\nNC Car / Previous Owner Has Garage Kept for Last 10 Years\n']",Series 62,https://www.gaaclassiccars.com/vehicles/40114/1949-cadillac-series-62,Black,V8 331 with Complete Rebuild,4,FR0050,Series 62,,Gray,960 Views,VIN:496255616,1949
Jeep,"['\nHardtop\r\n', '\nAutomatic\r\n', '\n6"" Lift \r\n', '\n35x12.50 17 All Terrain Tires\r\n', '\nBlack with Graphic Package\n']",WranglerSport,https://www.gaaclassiccars.com/vehicles/39730/2011-jeep-wrangler-sport,Black,Hardtop,4,FR0047,Wrangler,,Jeep,"1,345 Views",VIN:1J4HA3H14BL575180,2011
